"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
12.0;20.7;100;300;20.52627092083909
13.4;22.2;100;517;23.00316579512314
14.0;23.6;100;697;24.94661710330487
14.6;24.1;94;488;23.267055571018822
13.8;25.0;80;461;23.582364962959204
13.4;26.4;83;429;23.01863941433019
12.5;24.3;88;315;21.417922849976218
12.6;23.5;91;35;18.439186914160143
12.0;20.8;93;6;17.919664007756058
12.2;21.2;95;5;17.842351053645128
14.5;16.3;97;5;18.19090177972993
13.4;16.2;98;5;17.919755772778
12.3;16.3;100;5;17.595225317538027
12.1;18.4;100;31;17.819196080098333
12.2;20.3;100;290;20.464493249495074
12.8;20.0;100;292;20.6035464178956
13.3;20.9;100;308;20.864722035777294
14.2;21.6;100;310;21.063164720177067
14.0;22.3;100;404;21.976456120406596
12.7;22.1;100;306;20.725668867376772
12.8;24.3;99;352;21.265154958244715
11.2;24.0;96;160;19.162247123184066
11.9;22.4;94;49;18.282376986778715
11.7;21.6;92;6;17.913658940044854
11.2;19.1;90;5;17.9113082417545
11.6;17.6;90;5;17.990494263086827
10.7;16.3;89;5;17.865710163377127
10.5;15.7;93;5;17.612579359558815
10.6;15.5;94;5;17.578991416603863
10.8;15.9;94;5;17.618584427270026
10.8;16.9;94;5;17.618584427270026
11.1;18.5;92;5;17.784742839845343
12.4;19.0;92;5;18.042097409175405
12.7;19.7;93;8;18.078513681489667
12.7;19.5;96;33;18.171787041651005
12.8;19.8;87;187;20.23315208453319
12.0;21.2;82;124;19.703066986644593
11.3;21.0;80;200;20.441677529166462
11.1;22.0;73;123;19.995221405038173
10.6;20.9;82;12;18.290564273467435
10.5;19.9;85;6;18.04979201406413
10.2;18.7;88;5;17.82011208499976
10.7;18.3;94;5;17.598787921936943
10.7;17.4;97;5;17.43863457707283
11.5;16.4;98;5;17.543622171449446
10.1;16.0;75;5;18.49431340741116
10.5;16.5;83;5;18.146423842439187
10.5;17.4;95;5;17.50581046298274
10.7;17.9;89;5;17.865710163377127
12.0;18.1;89;5;18.12306473270719
11.7;18.4;89;32;18.337376058135433
13.2;18.9;84;108;19.67166306284921
11.7;19.8;83;151;19.863993863784795
10.9;21.2;79;122;19.625184636442768
11.3;21.1;88;34;18.331848621493176
11.4;20.1;95;6;17.694116079181494
11.9;20.1;93;5;17.88973043422196
11.9;19.5;90;6;18.060020847287092
12.1;18.3;89;5;18.142861238040272
12.3;16.9;84;5;18.449376490146623
11.7;15.4;83;5;18.38398190643617
11.5;15.2;88;5;18.077466654329818
12.4;16.2;88;5;18.255635202327554
12.5;18.0;90;5;18.168662811084562
12.8;18.4;90;5;18.228052327083805
13.4;18.5;93;50;18.642846083263994
14.2;20.2;91;190;20.32717657064724
14.3;20.5;91;146;19.90094207513553
13.9;21.2;91;162;19.98394914501949
12.6;21.4;90;94;19.090658386308245
12.6;22.0;89;57;18.768971311158612
12.0;23.5;89;290;21.01212916999732
11.5;21.6;91;23;18.09978053708403
10.5;19.9;95;6;17.51594753118376
10.2;19.9;97;5;17.339652050407423
10.4;18.6;99;5;17.27247616449751
10.4;17.7;100;5;17.219091716209476
10.6;16.7;100;5;17.25868472687564
11.0;16.3;100;5;17.337870748207965
11.5;16.3;100;5;17.43685327487337
10.9;16.5;100;5;17.318074242874882
10.5;17.3;100;5;17.238888221542556
11.4;19.2;99;290;20.359505655118458
11.3;19.8;100;295;20.337010042502428
12.5;20.6;100;379;21.42608183538492
11.9;20.6;99;352;21.086986410246983
11.5;21.5;97;357;21.165254626495816
10.0;22.9;96;613;23.516780954248244
10.4;22.8;94;329;20.823808503067532
9.8;22.0;97;321;20.463779580596785
10.1;22.4;96;291;20.272441498853528
9.2;21.2;94;5;17.301840341940718
8.8;19.9;94;5;17.22265432060839
9.2;18.4;96;6;17.205208513565662
10.0;17.6;99;5;17.193290143165186
10.0;15.8;100;5;17.13990569487715
10.2;15.7;99;5;17.23288315383135
10.4;15.6;96;5;17.432629509361625
10.7;15.3;96;5;17.492019025360868
10.7;15.7;95;5;17.545403473648904
10.4;17.6;100;31;17.482655489435945
10.9;19.0;100;290;20.207138680165013
11.3;19.2;100;290;20.28632470149734
11.4;19.1;96;299;20.610892613791734
12.0;19.2;94;346;21.312882747814143
11.2;20.0;92;374;21.545117511354068
12.1;20.1;89;399;22.136866109241364
10.9;20.3;87;380;21.813472646001113
11.0;21.1;84;464;22.844936225083824
10.9;21.2;81;381;22.143916403930355
10.6;21.8;80;339;21.712154471776397
10.7;21.1;86;348;21.502877901190413
8.9;19.3;87;5;17.616141963957734
8.9;18.7;85;5;17.72291086053381
8.8;17.5;85;5;17.703114355200725
8.9;16.1;85;5;17.72291086053381
9.3;15.2;87;5;17.69532798529006
9.6;15.1;89;5;17.64794860471323
9.5;14.8;92;5;17.46799875451604
9.0;15.3;90;5;17.475785124426704
9.1;16.0;87;5;17.655734974623897
9.0;18.6;83;290;20.738540699733093
9.0;18.4;91;291;20.321602181629814
9.8;18.5;92;320;20.720564753835955
8.5;20.0;76;396;22.087778540391856
8.7;20.7;78;354;21.59484579003919
9.1;20.4;79;357;21.65105856768653
10.0;20.8;79;298;21.231140091824205
10.0;21.0;86;293;20.806763612802854
9.9;19.2;83;5;18.027644810440698
9.9;18.3;100;5;17.120109189544067
10.1;16.8;100;5;17.15970220021023
10.2;16.3;100;5;17.179498705543313
10.0;16.2;100;5;17.13990569487715
10.1;16.3;100;5;17.15970220021023
10.5;17.5;97;31;17.662605339633135
10.3;19.5;97;297;20.31947247043776
10.6;20.5;97;295;20.35858785003497
11.1;19.5;89;292;20.854234758401617
10.9;20.6;90;340;21.247836573096283
11.3;21.3;87;396;22.054851758549727
11.9;24.1;82;439;22.876446964632184
12.1;22.1;89;368;21.822616995009806
12.5;21.6;78;298;21.779437173439284
12.3;20.3;79;6;18.726435799787826
11.7;19.1;82;5;18.437366354724208
10.6;17.4;83;5;18.16622034777227
10.7;15.8;85;5;18.079247956529276
10.6;15.3;85;5;18.059451451196196
10.4;15.1;88;5;17.859705095665923
10.1;15.1;89;5;17.746931131378638
9.4;17.1;94;5;17.34143335260688
9.4;18.0;95;31;17.55161267754531
9.9;18.3;92;295;20.486934554143584
9.9;18.5;91;319;20.78360863925605
11.7;19.8;86;330;21.51837572690291
11.6;20.0;92;329;21.168135463640585
11.6;19.2;96;337;21.03569421609658
11.6;19.8;97;309;20.698471858180035
10.6;21.2;96;287;20.330875752714864
10.2;20.7;94;5;17.499805395271537
10.1;20.5;92;6;17.596914854715546
10.1;19.0;94;5;17.480008889938453
9.7;17.4;92;5;17.5075917651822
9.5;16.2;95;5;17.307845409651925
9.6;15.4;92;5;17.48779525984912
9.5;15.1;91;5;17.521383202804074
11.1;14.9;90;5;17.891511736421418
10.6;15.5;90;5;17.79252920975601
9.5;16.0;90;5;17.574767651092113
9.1;17.3;94;31;17.545607609834107
9.3;18.9;95;290;20.157316836275893
9.1;18.8;94;290;20.17110827389777
10.4;19.0;95;294;20.41562666774386
11.2;19.3;95;346;21.101126256861452
11.9;20.1;96;320;20.92275357267852
11.3;20.8;89;373;21.71493029335024
12.4;21.7;85;338;21.79143225813066
11.9;21.6;93;374;21.6303086003976
11.1;22.2;85;332;21.473255279594486
10.9;21.8;81;311;21.434321629859095
10.3;22.0;78;303;21.394599397116576
9.9;20.9;72;6;18.625010809810128
10.0;20.2;72;5;18.634670246942193
10.6;18.6;70;5;18.860218175516756
11.5;17.7;69;5;19.091771171802524
11.6;16.5;80;5;18.5243387459672
11.5;15.8;90;5;17.970697757753744
11.5;15.1;94;5;17.757159964601595
11.1;15.1;95;5;17.62458949498123
11.3;15.4;97;5;17.557413609071318
9.7;17.2;95;31;17.611002193544557
9.2;18.6;94;291;20.201041847431867
9.2;18.2;92;291;20.30781074400794
9.4;18.3;91;297;20.461610612168247
10.0;19.8;87;462;22.46654369048686
10.0;20.6;88;411;21.896168763946903
9.8;23.2;83;410;22.11336092651991
10.1;22.4;84;327;21.27798933354662
10.2;22.2;85;290;20.869329867154
10.7;20.1;92;5;17.705556818513017
10.9;16.4;94;5;17.638380932603106
11.0;15.8;93;5;17.711561886224224
9.8;15.3;94;5;17.42061937393921
9.8;14.9;94;5;17.42061937393921
9.8;15.2;95;5;17.36723492565117
9.5;16.2;94;5;17.361229857939964
9.1;17.7;89;5;17.548966078047822
